b'1000 Funerals',http://metalstorm.net/bands/band.php?band_id=5768&bandname=1000+Funerals
b'11 As In Adversaries',http://metalstorm.net/bands/band.php?band_id=6942&bandname=11+As+In+Adversaries
b'11Paranoias',http://metalstorm.net/bands/band.php?band_id=7929&bandname=11Paranoias
b'1349',http://metalstorm.net/bands/band.php?band_id=340&bandname=1349
b'2 Times Terror',http://metalstorm.net/bands/band.php?band_id=8791&bandname=2+Times+Terror
b'2 Ton Predator',http://metalstorm.net/bands/band.php?band_id=3493&bandname=2+Ton+Predator
b'2 Wolves',http://metalstorm.net/bands/band.php?band_id=6576&bandname=2+Wolves
b'220 Volt',http://metalstorm.net/bands/band.php?band_id=9896&bandname=220+Volt
b'24-7 Spyz',http://metalstorm.net/bands/band.php?band_id=2121&bandname=24-7+Spyz
b'3 Inches Of Blood',http://metalstorm.net/bands/band.php?band_id=2780&bandname=3+Inches+Of+Blood
b'36 Crazyfists',http://metalstorm.net/bands/band.php?band_id=2732&bandname=36+Crazyfists
b'40 Watt Sun',http://metalstorm.net/bands/band.php?band_id=4610&bandname=40+Watt+Sun
b'48 Crash',http://metalstorm.net/bands/band.php?band_id=8082&bandname=48+Crash
b'4th Dimension',http://metalstorm.net/bands/band.php?band_id=6517&bandname=4th+Dimension
b'5 Star Grave',http://metalstorm.net/bands/band.php?band_id=4249&bandname=5+Star+Grave
b'5ive',http://metalstorm.net/bands/band.php?band_id=3443&bandname=5ive
b'69 Chambers',http://metalstorm.net/bands/band.php?band_id=7425&bandname=69+Chambers
b'6:33',http://metalstorm.net/bands/band.php?band_id=9179&bandname=6%3A33
b'6th Dimension',http://metalstorm.net/bands/band.php?band_id=9024&bandname=6th+Dimension
b'7 H. Target',http://metalstorm.net/bands/band.php?band_id=7467&bandname=7+H.+Target
b'7th Reign',http://metalstorm.net/bands/band.php?band_id=4428&bandname=7th+Reign
b'9.7 Richter',http://metalstorm.net/bands/band.php?band_id=9243&bandname=9.7+Richter
b'A Canorous Quintet',http://metalstorm.net/bands/band.php?band_id=9591&bandname=A+Canorous+Quintet
b'A Diadem Of Dead Stars',http://metalstorm.net/bands/band.php?band_id=7744&bandname=A+Diadem+Of+Dead+Stars
b'A Dream Of Poe',http://metalstorm.net/bands/band.php?band_id=4783&bandname=A+Dream+Of+Poe
b'A Forest Of Stars',http://metalstorm.net/bands/band.php?band_id=3482&bandname=A+Forest+Of+Stars
b'A Gruesome Find',http://metalstorm.net/bands/band.php?band_id=3745&bandname=A+Gruesome+Find
b'A Loathing Requiem',http://metalstorm.net/bands/band.php?band_id=9006&bandname=A+Loathing+Requiem
b'A Lower Deep',http://metalstorm.net/bands/band.php?band_id=1159&bandname=A+Lower+Deep
b'A Million Dead Birds Laughing',http://metalstorm.net/bands/band.php?band_id=6772&bandname=A+Million+Dead+Birds+Laughing
b'A New Dawn',http://metalstorm.net/bands/band.php?band_id=7486&bandname=A+New+Dawn
b'A Night In Texas',http://metalstorm.net/bands/band.php?band_id=8804&bandname=A+Night+In+Texas
b'A Pale Horse Named Death',http://metalstorm.net/bands/band.php?band_id=6286&bandname=A+Pale+Horse+Named+Death
b'A Pregnant Light',http://metalstorm.net/bands/band.php?band_id=9487&bandname=A+Pregnant+Light
b'A Sense Of Gravity',http://metalstorm.net/bands/band.php?band_id=8679&bandname=A+Sense+Of+Gravity
b'A Sound Of Thunder',http://metalstorm.net/bands/band.php?band_id=7198&bandname=A+Sound+Of+Thunder
